L,  R,  N,  T,  L,  M,  I,  E;
1,  1,  26, 21, 18, 1,  2,  3;
6,  1,  7,  21, 15, 1,  4,  2;
6,  1.5,9,  21, 18, 1,  2,  3;
6,  2,  12, 21, 18, 1,  2,  4;
