L,  R,  N,  T,  L,  M,  I,  E;
1,  1,  28, 23, 23, 0,  2,  0;
2,  1,  14, 23, 21, 0,  2,  0;
2,  2,  28, 23, 23, 0,  2,  0;
4,  1,  8,  23, 18, 1,  2,  0;
4,  1.5,13, 23, 21, 0,  2,  0;
4,  2,  16, 23, 21, 0,  2,  0;
6,  1,  7,  23, 19, 1,  2,  0;
6,  1.5,9,  23, 16, 0,  2,  0;
6,  2,  12, 23, 20, 0,  2,  0;
